ep 	k               	err         
1  	5.000000000000  	0.004968444674
2  	5.000000000000  	0.004968118988
3  	5.000000000000  	0.004967758735
4  	5.000000000000  	0.004967360167
5  	5.050000000000  	0.004966919254
6  	5.050000000000  	0.004966426608
7  	5.050000000000  	0.004965881578
8  	5.050000000000  	0.004965279037
9  	5.100500000000  	0.004964613494
10 	5.100500000000  	0.004963871443
11 	5.100500000000  	0.004963052616
12 	5.100500000000  	0.004962150009
13 	5.151505000000  	0.004961156069
14 	5.151505000000  	0.004960051295
15 	5.151505000000  	0.004958835901
16 	5.151505000000  	0.004957499929
17 	5.203020050000  	0.004956032495
18 	5.203020050000  	0.004954404988
19 	5.203020050000  	0.004952617717
20 	5.203020050000  	0.004950655809
21 	5.255050250500  	0.004948502884
22 	5.255050250500  	0.004946116481
23 	5.255050250500  	0.004943496475
24 	5.255050250500  	0.004940620471
25 	5.307600753005  	0.004937463952
26 	5.307600753005  	0.004933964309
27 	5.307600753005  	0.004930121225
28 	5.307600753005  	0.004925902035
29 	5.360676760535  	0.004921271308
30 	5.360676760535  	0.004916138118
31 	5.360676760535  	0.004910503331
32 	5.360676760535  	0.004904320758
33 	5.414283528140  	0.004897540520
34 	5.414283528140  	0.004890031933
35 	5.414283528140  	0.004881799067
36 	5.414283528140  	0.004872777373
37 	5.468426363422  	0.004862897246
38 	5.468426363422  	0.004851971915
39 	5.468426363422  	0.004840011430
40 	5.468426363422  	0.004826926405
41 	5.523110627056  	0.004812620985
42 	5.523110627056  	0.004796831252
43 	5.523110627056  	0.004779579920
44 	5.523110627056  	0.004760747857
45 	5.578341733327  	0.004740209589
46 	5.578341733327  	0.004717603000
47 	5.578341733327  	0.004692982441
48 	5.578341733327  	0.004666204409
49 	5.634125150660  	0.004637123705
50 	5.634125150660  	0.004605270679
51 	5.634125150660  	0.004570775767
52 	5.634125150660  	0.004533499928
53 	5.690466402166  	0.004493314435
54 	5.690466402166  	0.004449660331
55 	5.690466402166  	0.004402822640
56 	5.690466402166  	0.004352726192
57 	5.747371066188  	0.004299323798
58 	5.747371066188  	0.004242018322
59 	5.747371066188  	0.004181345302
60 	5.747371066188  	0.004117364995
61 	5.804844776850  	0.004050178918
62 	5.804844776850  	0.003979212504
63 	5.804844776850  	0.003905311380
64 	5.804844776850  	0.003828706365
65 	5.862893224618  	0.003749665504
66 	5.862893224618  	0.003667663503
67 	5.862893224618  	0.003583819523
68 	5.862893224618  	0.003498492113
69 	5.921522156865  	0.003412053581
70 	5.921522156865  	0.003323999895
71 	5.921522156865  	0.003235586507
72 	5.921522156865  	0.003147193544
73 	5.980737378433  	0.003059185789
74 	5.980737378433  	0.002971027617
75 	5.980737378433  	0.002883939821
76 	5.980737378433  	0.002798219230
77 	6.040544752218  	0.002714129429
78 	6.040544752218  	0.002631074700
79 	6.040544752218  	0.002550116795
80 	6.040544752218  	0.002471419534
81 	6.100950199740  	0.002395112207
82 	6.100950199740  	0.002320554255
83 	6.100950199740  	0.002248602291
84 	6.100950199740  	0.002179296757
85 	6.161959701737  	0.002112652909
86 	6.161959701737  	0.002048026920
87 	6.161959701737  	0.001986083534
88 	6.161959701737  	0.001926779714
89 	6.223579298755  	0.001870058812
90 	6.223579298755  	0.001815314944
91 	6.223579298755  	0.001763059399
92 	6.223579298755  	0.001713207131
93 	6.285815091742  	0.001665668455
94 	6.285815091742  	0.001619901521
95 	6.285815091742  	0.001576303902
96 	6.285815091742  	0.001534778196
97 	6.348673242660  	0.001495227687
98 	6.348673242660  	0.001457184243
99 	6.348673242660  	0.001420963328
100	6.348673242660  	0.001386471816
101	6.412159975086  	0.001353619738
102	6.412159975086  	0.001322010975
103	6.412159975086  	0.001291901388
104	6.412159975086  	0.001263209388
105	6.476281574837  	0.001235857297
106	6.476281574837  	0.001209513444
107	6.476281574837  	0.001184389482
108	6.476281574837  	0.001160417237
109	6.541044390585  	0.001137532321
110	6.541044390585  	0.001115457964
111	6.541044390585  	0.001094372162
112	6.541044390585  	0.001074219420
113	6.606454834491  	0.001054947562
114	6.606454834491  	0.001036325321
115	6.606454834491  	0.001018504420
116	6.606454834491  	0.001001440326
117	6.672519382836  	0.000985091263
118	6.672519382836  	0.000969263148
119	6.672519382836  	0.000954086772
120	6.672519382836  	0.000939526649
121	6.739244576665  	0.000925549525
122	6.739244576665  	0.000911991537
123	6.739244576665  	0.000898966508
124	6.739244576665  	0.000886446248
125	6.806637022431  	0.000874404344
126	6.806637022431  	0.000862701490
127	6.806637022431  	0.000851437568
128	6.806637022431  	0.000840590195
129	6.874703392655  	0.000830138401
130	6.874703392655  	0.000819962910
131	6.874703392655  	0.000810152004
132	6.874703392655  	0.000800687904
133	6.943450426582  	0.000791553951
134	6.943450426582  	0.000782647316
135	6.943450426582  	0.000774046515
136	6.943450426582  	0.000765737415
137	7.012884930848  	0.000757706773
138	7.012884930848  	0.000749865385
139	7.012884930848  	0.000742283443
140	7.012884930848  	0.000734949707
141	7.083013780156  	0.000727853647
142	7.083013780156  	0.000720917468
143	7.083013780156  	0.000714204171
144	7.083013780156  	0.000707704824
145	7.153843917958  	0.000701411053
146	7.153843917958  	0.000695254743
147	7.153843917958  	0.000689292596
148	7.153843917958  	0.000683517520
149	7.225382357137  	0.000677922874
150	7.225382357137  	0.000672448865
151	7.225382357137  	0.000667146592
152	7.225382357137  	0.000662010444
153	7.297636180709  	0.000657035171
154	7.297636180709  	0.000652168260
155	7.297636180709  	0.000647455742
156	7.297636180709  	0.000642893201
157	7.370612542516  	0.000638476515
158	7.370612542516  	0.000634159654
